District,Cluster
Kupwara,5
Baramula,1
Srinagar,5
Badgam,5
Pulwama,5
Anantnag,5
Leh,5
Kargil,5
Doda,5
Udhampur,5
Punch,5
Rajauri,2
Jammu,5
Kathua,5
Chamba,5
Kangra,5
Lahul,5
Kullu,5
Mandi,5
Hamirpur,5
Una,1
Bilaspur,1
Solan,1
Sirmaur,2
Shimla,2
Kinnaur,2
Gurdaspur,5
Amritsar,5
Kapurthala,5
Jalandhar,5
Hoshiarpur,5
Nawanshahr,5
Rupnagar,5
Fatehgarh,5
Ludhiana,5
Moga,2
Firozpur,5
Muktsar,5
Faridkot,5
Bathinda,5
Mansa,5
Sangrur,5
Patiala,5
SJAS Nagar (Mohali),5
Barnala,5
Tarn Taran,5
Chandigarh,5
Uttarkashi,5
Chamoli,5
Rudraprayag,5
Tehri,2
Dehradun,5
Garhwal,5
Pithoragarh,5
Bageshwar,2
Almora,5
Champawat,5
Nainital,5
Udham,5
Hardwar,2
Nainital(Hills),2
Dehradun(Hills),1
Panchkula,5
Ambala,5
Yamunanagar,5
Kurukshetra,5
Kaithal,5
Karnal,5
Panipat,5
Sonipat,5
Jind,5
Fatehabad,5
Sirsa,5
Hisar,5
Bhiwani,1
Rohtak,5
Jhajjar,5
Mahendragarh,1
Rewari,5
Gurgaon,5
Faridabad,5
Mewat,5
North West Delhi,5
North Delhi,5
North East Delhi,5
East Delhi,5
New Delhi,5
West Delhi,5
South West Delhi,5
South Delhi,5
Ganganagar,5
Hanumangarh,5
Bikaner,5
Churu,1
Jhunjhunun,5
Alwar,1
Bharatpur,1
Dhaulpur,1
Karauli,5
Sawai,1
Dausa,1
Jaipur,1
Sikar,1
Nagaur,1
Jodhpur,1
Jaisalmer,1
Barmer,1
Jalor,1
Sirohi,1
Pali,1
Ajmer,1
Tonk,5
Bundi,5
Bhilwara,1
Rajsamand,5
Udaipur,5
Dungarpur,5
Banswara,5
Chittaurgarh,5
Kota,5
Baran,5
Jhalawar,5
Saharanpur,5
Muzaffarnagar,2
Bijnor,2
Moradabad,5
Rampur,5
Jyotiba Phule Nagar,2
Meerut,5
Baghpat,2
Ghaziabad,5
Gautam Buddha Nagar,5
Bulandshahar,5
Aligarh,1
Hathras,5
Mathura,5
Agra,5
Firozabad,5
Etah,1
Mainpuri,1
Budaun,5
Bareilly,5
Pilibhit,5
Shahjahanpur,5
Kheri,2
Sitapur,2
Hardoi,2
Unnao,2
Lucknow,5
Rae Bareli,2
Farrukhabad,5
Kannauj,5
Etawah,5
Auraiya,5
Kanpur Dehat,5
Kanpur Nagar,2
Jalaun,2
Jhansi,2
Lalitpur,2
Hamirpur,5
Mahoba,5
Banda,2
Chitrakoot,5
Fatehpur,5
Pratapgarh,2
Kaushambi,5
Allahabad,2
Barabanki,2
Faizabad,2
Ambedkar Nagar,2
Sultanpur,2
Bahraich,2
Shrawasti,2
Balrampur,2
Gonda,5
Siddharthnagar,2
Basti,2
Sant Kabir Nagar,2
Mahrajganj,2
Gorakhpur,2
Kushinagar,2
Deoria,2
Azamgarh,2
Mau,2
Ballia,2
Jaunpur,2
Ghazipur,2
Chandauli,2
Varanasi,2
Sant Ravidas Nagar,2
Mirzapur,2
Sonbhadra,2
Kashiramnagar,5
Pashchim Champaran,5
Purba Champaran,5
Sheohar,2
Sitamarhi,5
Madhubani,5
Supaul,2
Araria,5
Kishanganj,5
Purnia,5
Katihar,5
Madhepura,5
Saharsa,2
Darbhanga,5
Muzaffarpur,5
Gopalganj,2
Siwan,2
Saran,0
Vaishali,2
Samastipur,5
Begusarai,5
Khagaria,5
Bhagalpur,2
Banka,2
Munger,2
Lakhisarai,2
Sheikhpura,2
Nalanda,2
Patna,2
Bhojpur,2
Buxar,2
Kaimur (Bhabua),2
Rohtas,2
Jehanabad,5
Aurangabad,2
Gaya,2
Nawada,5
Jamui,2
Arwal,4
North Sikkim,5
West Sikkim,5
