District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan,Cluster
Kupwara,"1,381",17.2630893,37.1273068,0.0,0.0,5.07,0.0,0.0,0.0,1.97,1.23,1.11,0.48,0.59,0.25,0.0,0.0,2
Baramula,"1,562",17.0995249,37.174974799999994,0.0,15.0,7.07,0.0,0.0,0.0,0.88,1.36,1.12,0.67,0.9,0.91,1.83,1.34,1
Srinagar,"2,041",17.0418354,37.39864125,0.0,0.0,1.39,0.0,0.0,0.0,0.58,0.68,0.66,0.5,0.77,1.43,0.93,1.0,2
Badgam,"1,360",17.005889649999997,37.3873342,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.76,0.71,0.0,0.56,0.0,1.0,0.0,2
Pulwama,"1,599",16.93580585,37.4472846,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2
Anantnag,"1,534",16.86556275,37.574350349999996,0.0,0.0,15.23,0.0,0.0,0.0,0.0,0.97,1.5,0.0,0.0,0.0,1.0,0.0,0
Leh,"1,967",17.0831919,38.74834875,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.75,0.57,0.31,1.0,0.53,0.0,0.0,2
Kargil,"1,761",17.27922445,38.049754,4.56,3.04,0.0,4.0,0.0,0.0,0.0,1.11,1.15,0.0,0.87,0.0,1.0,0.97,2
Doda,"1,348",16.572874849999998,37.77402454999999,22.0,0.0,11.74,0.0,0.0,0.0,0.0,0.62,0.58,0.91,0.69,1.5,0.5,0.35,5
Udhampur,"1,224",16.4570294,37.5714826,0.0,0.0,15.4,5.0,0.0,0.0,1.75,0.65,0.58,0.83,0.58,0.5,0.88,0.28,0
Punch,"1,396",16.76858755,36.869175899999995,0.0,0.0,15.47,0.0,0.0,0.0,0.99,0.79,0.93,0.99,1.57,0.0,0.0,0.33,0
Rajauri,"1,540",16.68932225,37.14400235,0.0,5.0,16.78,0.0,0.0,0.0,0.97,0.79,0.9,0.92,0.96,2.5,0.46,0.35,0
Jammu,"2,571",16.3633008,37.428512950000005,0.0,0.0,4.79,0.0,0.0,0.0,0.89,0.63,0.6,1.04,0.56,1.5,0.76,0.4,2
Kathua,"1,857",16.19323995,37.7586344,0.0,0.0,10.88,0.0,0.0,0.0,0.67,0.57,0.59,1.16,0.49,0.0,0.5,0.35,2
Chamba,"1,383",16.27668165,38.06290415,0.0,0.0,9.98,0.0,0.0,0.0,0.69,0.59,0.62,1.28,1.0,1.91,0.53,0.39,2
Kangra,"1,579",16.04990155,38.134550299999994,0.0,2.53,7.36,10.0,0.0,0.0,0.79,0.61,0.74,1.01,0.99,1.0,0.58,0.37,2
Lahul,"1,582",16.309605350000002,38.68918945000001,0.0,0.0,0.0,3.66,0.0,0.0,0.5,0.6,0.81,1.03,0.25,0.0,0.0,0.25,2
Kullu,"1,469",15.9789255,38.55472985,0.0,2.0,8.62,0.0,0.0,0.0,0.68,0.78,0.78,1.09,1.0,0.0,0.0,0.46,2
Mandi,"1,361",15.854082750000002,38.465683750000004,0.5,0.5,5.94,0.0,0.0,0.0,0.76,0.76,0.77,1.11,0.82,1.1,1.14,0.43,2
Hamirpur,"2,591",15.84308725,38.2606546,0.0,10.0,9.84,0.25,0.0,0.0,0.75,0.93,0.79,1.47,0.77,0.5,0.96,0.77,2
Una,"2,286",15.734222500000001,38.13538725,0.0,5.69,12.45,5.0,0.0,0.0,0.87,0.8,0.79,1.18,0.5,1.0,1.02,0.71,0
Bilaspur,"1,999",15.151453449999998,38.645919299999996,20.0,0.0,9.53,0.0,0.0,0.0,0.73,1.06,0.85,1.28,1.07,0.84,0.94,0.69,5
Solan,"3,109",15.452242850000001,38.548367850000005,0.0,30.0,13.83,20.0,2.0,0.0,0.98,0.88,0.95,0.96,0.92,0.5,0.0,0.78,1
Sirmaur,"1,929",15.28142275,38.7350986,0.0,0.0,17.4,0.0,0.0,0.0,0.84,0.75,0.87,1.31,3.93,0.0,0.0,0.78,0
Shimla,"2,351",15.552407250000002,38.586701649999995,0.0,0.0,3.7,0.0,0.0,0.0,0.99,1.04,1.08,1.16,1.67,1.0,0.5,0.64,2
Kinnaur,"2,105",15.8254788,39.23759725,0.0,0.0,20.0,10.0,0.0,0.0,1.0,1.23,1.06,1.26,4.0,0.0,0.0,2.14,0
Gurdaspur,"2,015",16.020971199999998,37.70266835,0.0,0.0,2.8,0.0,0.0,0.0,0.67,0.5,0.43,0.79,0.54,0.0,0.0,0.57,2
Amritsar,"1,868",15.81698965,37.4361321,0.0,0.0,3.38,1.0,0.0,0.0,1.33,0.69,0.72,0.88,1.0,0.0,0.0,0.63,2
Kapurthala,"2,040",15.685740050000001,37.6968404,0.0,0.0,2.22,0.0,0.0,0.0,0.66,0.63,0.53,0.44,0.0,0.0,0.37,0.44,2
Jalandhar,"1,902",15.6630076,37.78809145,4.0,2.0,2.46,0.0,0.2,0.0,0.57,0.62,0.54,0.49,0.89,1.0,0.57,0.39,2
Hoshiarpur,"2,174",15.7571589,37.955741499999995,0.0,0.0,3.63,0.0,0.0,0.0,1.07,0.6,0.45,0.74,1.0,0.75,1.0,0.5,2
Nawanshahr,"1,741",15.545647699999998,38.019595450000004,0.0,0.0,3.24,0.0,0.0,0.0,0.44,0.6,0.56,0.41,0.25,0.0,0.0,0.49,2
Rupnagar,"2,215",15.482958400000001,38.2615117,0.0,0.0,2.36,0.0,0.0,0.0,0.91,0.87,0.67,0.72,1.0,0.0,0.0,0.7,2
Fatehgarh,"1,886",15.3239587,38.19488665,0.0,0.0,8.52,0.0,0.0,0.0,0.89,1.24,0.93,1.02,0.5,0.0,1.02,1.0,2
Ludhiana,"2,238",15.450482500000001,37.9286379,0.0,0.0,1.9,0.0,2.0,0.0,1.09,0.8,0.68,0.74,0.5,1.0,0.63,0.62,2
Moga,"1,950",15.40823015,37.58585465,0.0,0.0,3.09,0.0,0.0,0.0,5.0,1.03,0.78,0.65,0.0,0.0,1.0,0.94,2
Firozpur,"1,805",15.4665674,37.311237750000004,0.0,0.0,1.91,0.0,0.0,0.0,0.53,0.97,0.69,0.76,0.0,0.0,0.0,1.32,2
Muktsar,"1,595",15.23831955,37.255586,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.84,0.83,0.99,0.0,0.0,0.0,0.7,2
Faridkot,"2,723",15.3390935,37.36977955,0.0,0.0,2.72,0.0,0.0,0.0,1.0,0.99,0.68,0.48,0.0,0.0,0.0,0.72,2
Bathinda,"2,568",15.105497,37.47273725,0.0,0.79,0.86,0.0,0.0,0.0,0.32,0.74,0.4,0.74,1.0,0.0,0.37,0.49,2
Mansa,"2,142",14.999753449999998,37.6968404,0.0,1.02,1.0,0.0,0.0,0.0,1.5,1.01,0.72,0.56,0.0,0.0,0.69,0.65,2
Sangrur,"2,241",15.12289815,37.92103579999999,0.0,0.0,2.25,0.0,0.0,0.0,0.64,1.11,0.64,0.96,1.0,0.0,0.0,0.85,2
Patiala,"2,446",15.16989045,38.193439850000004,0.0,0.0,4.07,0.0,0.0,0.0,0.79,0.88,0.67,0.77,0.76,0.0,0.37,0.98,2
SJAS Nagar (Mohali),"2,427",15.352324300000001,38.358936299999996,0.0,0.0,1.64,0.0,0.0,0.0,0.62,0.71,0.62,0.81,1.34,0.0,0.0,0.67,2
Barnala,"1,843",15.1833856,37.75466645,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.93,0.76,0.85,0.5,0.0,0.0,0.54,2
Tarn Taran,"1,931",15.66083375,37.257988399999995,0.0,0.0,2.39,0.0,0.0,0.0,1.18,0.93,0.98,0.8,0.0,0.0,0.0,0.67,2
Chandigarh,"2,638",15.3699869,38.3783684,0.0,0.0,2.14,0.0,0.0,0.0,1.1,0.82,0.8,0.91,0.88,0.0,0.75,0.7,2
Uttarkashi,"1,808",15.363415349999999,39.217702100000004,0.0,0.0,1.46,0.0,0.0,5.0,0.88,0.43,1.02,0.56,0.72,2.0,0.0,0.33,2
Chamoli,"1,405",15.20205225,39.66588455,0.0,0.0,1.8,0.0,4.97,4.66,0.88,0.92,0.76,0.72,0.93,0.0,0.0,0.39,2
Rudraprayag,"1,583",15.14220705,39.49057035,0.0,0.0,0.0,0.0,4.93,4.57,0.91,0.5,0.85,0.69,1.0,0.0,0.0,0.43,2
Tehri,"1,215",15.150592900000001,39.2830426,0.0,0.0,1.34,0.0,2.54,3.45,1.18,0.89,1.14,1.0,1.91,1.0,0.0,0.43,2
Dehradun,"1,873",15.15728725,38.99922025,2.0,0.0,3.33,0.0,0.5,1.21,1.06,0.54,0.87,0.66,1.0,1.7,0.52,0.51,2
Garhwal,"1,648",14.934384099999999,39.41913220000001,0.0,0.0,1.0,0.0,4.52,4.54,0.96,0.57,0.8,0.64,0.8,1.0,0.65,0.41,2
Pithoragarh,"1,426",14.791430199999999,40.1090942,0.0,0.0,2.0,0.0,0.0,1.65,0.74,0.95,1.09,0.79,0.61,0.0,0.5,0.47,2
Bageshwar,"1,506",14.920180300000002,39.884713,0.0,0.0,0.0,0.0,0.0,4.48,0.82,0.65,1.26,1.0,2.34,0.77,0.0,0.5,2
Almora,"1,640",14.79462035,39.823333,0.0,0.0,0.0,0.0,0.0,5.5,0.78,0.47,1.06,0.8,0.96,0.0,0.0,0.49,2
Champawat,"1,530",14.6680487,40.04551375,0.0,0.0,0.0,0.0,0.0,3.44,1.2,0.6,1.03,1.14,1.28,0.0,0.0,0.42,2
Nainital,"1,875",14.690151949999999,39.7317829,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.62,1.24,0.83,1.03,0.0,0.0,0.82,2
Udham,"1,705",14.480482649999999,39.75768865,0.0,0.0,0.0,0.0,0.0,0.0,0.98,1.14,1.27,0.91,0.82,0.58,1.0,0.48,2
Hardwar,"1,551",14.972845300000001,39.0821239,0.0,0.0,2.52,0.0,0.0,0.0,1.11,0.9,1.16,0.89,0.54,3.0,0.25,0.61,2
Nainital(Hills),"1,373",14.704690900000001,39.7176981,0.0,0.0,0.0,0.0,0.0,6.47,1.23,0.57,1.17,1.57,1.95,0.0,0.0,0.69,2
Dehradun(Hills),"1,315",15.14191055,38.9539864,1.0,0.0,32.98,0.0,0.0,3.7,1.13,0.53,0.87,0.96,0.25,0.0,0.0,0.61,0
Panchkula,"1,812",15.347104550000001,38.430282500000004,0.0,0.0,1.51,0.0,0.0,0.0,1.47,0.93,1.0,0.89,1.44,0.0,2.0,0.72,2
Ambala,"1,867",15.1890894,38.3883487,0.0,0.0,2.68,0.0,0.0,0.0,0.93,0.95,1.0,1.18,1.17,0.0,0.25,0.71,2
Yamunanagar,"1,533",15.06452425,38.63369505,0.0,0.0,1.29,0.1,0.0,0.0,1.01,0.91,0.88,0.87,0.39,0.0,1.0,0.59,2
Kurukshetra,"1,804",14.984756050000001,38.439141,0.0,2.0,5.54,0.0,0.0,0.0,0.73,0.79,0.79,0.87,0.51,0.0,1.11,0.61,2
Kaithal,"1,724",14.8928367,38.19922685,0.0,1.32,1.88,0.0,0.0,0.0,0.7,0.77,0.91,0.76,0.0,0.0,0.5,0.86,2
Karnal,"1,942",14.84284645,38.49524125,0.0,2.86,2.0,0.0,0.0,0.0,0.73,0.97,0.77,0.62,0.0,0.0,0.33,0.71,2
Panipat,"2,075",14.695473199999999,38.481751149999994,0.0,3.23,3.0,0.0,0.0,0.0,1.76,0.96,0.86,0.7,1.22,0.0,0.92,0.78,2
Sonipat,"2,141",14.46438675,38.545640500000005,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.42,0.32,0.28,0.0,0.0,0.25,0.39,2
Jind,"2,347",14.66055765,38.1529164,0.0,2.78,2.73,0.0,0.0,0.0,1.25,0.6,0.42,0.48,2.0,0.0,0.32,0.45,2
Fatehabad,"1,718",14.753857949999999,37.7259758,0.0,9.82,3.0,0.0,0.0,0.0,1.28,1.2,0.7,0.91,1.0,0.0,0.0,1.08,2
Sirsa,"1,691",14.766796550000002,37.50885145,0.0,5.83,2.0,0.0,0.0,0.0,0.47,0.91,0.48,0.47,0.0,0.0,0.0,0.74,2
Hisar,"1,776",14.57459375,37.86082635,0.0,3.34,0.0,0.0,0.0,0.0,1.62,0.99,0.43,0.66,0.73,0.0,1.0,0.9,2
Bhiwani,"2,149",14.39952225,38.06675560000001,0.0,4.41,0.0,15.0,0.0,0.0,0.75,0.84,0.68,0.69,0.47,0.0,0.79,1.15,2
Rohtak,"2,459",14.447757600000001,38.3033055,0.0,2.11,0.83,0.0,0.0,0.0,0.5,0.87,0.7,0.63,0.25,0.0,0.89,0.8,2
Jhajjar,"2,188",14.30395575,38.32858875,2.0,2.19,3.47,0.0,0.0,0.0,0.58,0.97,0.67,0.55,0.94,0.5,0.0,0.76,2
Mahendragarh,"1,974",14.135509599999999,38.07469455,0.0,15.57,0.0,0.0,0.0,0.0,0.81,1.1,0.66,0.69,1.0,0.0,0.5,0.96,1
Rewari,"2,460",14.09638155,38.31197115,0.0,3.37,0.0,0.0,0.0,0.0,0.69,0.84,0.71,0.6,0.0,0.0,0.95,1.02,2
Gurgaon,"3,339",14.229748250000002,38.513319149999994,0.0,5.6,1.5,0.0,0.0,0.0,0.8,0.87,0.54,0.7,0.5,0.0,0.5,0.8,2
Faridabad,"2,526",14.20445615,38.658894700000005,0.0,2.0,0.0,1.0,0.0,0.0,0.71,0.81,0.7,0.51,0.61,0.25,0.0,0.81,2
Mewat,"1,535",14.0053458,38.5282232,0.0,4.25,0.66,0.0,0.0,0.0,0.62,1.12,0.7,0.55,0.5,0.5,0.25,1.19,2
North West Delhi,"2,879",14.385288699999998,38.53973525,0.0,0.0,2.73,0.46,0.0,0.0,1.02,0.75,0.84,0.64,0.57,0.0,0.58,0.55,2
North Delhi,"3,237",14.374194699999999,38.60301205,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.03,0.65,0.56,0.0,0.0,0.0,0.39,2
North East Delhi,"2,237",14.348282199999998,38.6317519,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.67,0.67,0.45,0.0,0.5,0.63,0.46,2
East Delhi,"1,915",14.30977955,38.6489891,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.56,0.7,0.64,0.2,0.0,0.0,0.6,2
New Delhi,"3,762",14.263759900000002,38.534448700000006,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.46,0.88,1.0,0.0,0.0,0.0,0.31,2
West Delhi,"1,954",14.3271413,38.49865955,0.0,0.0,0.0,0.0,0.0,0.0,1.59,1.14,0.83,0.38,0.0,0.0,0.0,0.6,2
South West Delhi,"3,222",14.29137885,38.51670895,0.0,1.91,0.0,0.0,0.0,0.0,1.0,0.5,0.53,0.61,0.5,0.0,0.0,0.43,2
South Delhi,"2,902",14.254324849999998,38.60876115,0.0,0.0,2.0,0.5,0.0,0.0,1.24,0.84,0.67,0.87,0.5,0.5,0.15,0.46,2
Ganganagar,"1,689",14.951919949999999,36.938595049999996,0.0,11.57,2.95,0.0,0.0,0.0,0.71,1.37,0.64,0.5,0.98,0.0,0.0,0.81,2
Hanumangarh,"1,793",14.807217999999999,37.14290604999999,0.0,4.21,10.0,0.0,0.0,0.0,0.62,1.12,0.78,0.74,0.0,0.0,0.0,0.76,2
Bikaner,"1,642",14.0114674,36.65595795000001,0.0,8.2,0.0,0.0,0.0,0.0,0.83,0.95,0.79,0.99,0.81,0.0,0.0,0.77,2
Churu,"1,598",14.1460242,37.480896200000004,0.0,27.72,0.0,0.0,0.0,0.0,0.73,1.3,0.68,0.41,0.0,0.0,0.0,0.82,1
