district,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Kupwara,0.693523864,3.595076136,0,0,0,0,0,0.583254758,1.989905242,0,0,0,0,0,0,0
Baramula,0,2.470321694,5.701528306,0,0,0,0,0,0,0,4.90311,0,0,0,0,0
Srinagar,4.333792918,0,0,1.634481359,1.586262524,0.751513199,1.104700463,0,0,1.634481359,0,0,0,0.609966819,1.634481359,0
Badgam,0.682519271,3.538030729,0,0,0,0,0,0.573999876,1.958330124,0,0,0,0,0,0,0
Pulwama,2.597025165,0,0,0.979462863,0.950567729,0.450344243,0.661991691,0,0,0.979462863,0,0,0,0.365522582,0.979462863,0
Anantnag,1.391624217,7.213875783,0,0,0,0,0,1.17035835,3.99294165,0,0,0,0,0,0,0
Leh,0.12029856,0.62360144,0,0,0,0,0,0.101171295,0.345168705,0,0,0,0,0,0,0
Kargil,0.562617478,0,0,0.21219006,0.205930241,0.097562221,0.143413356,0,0,0.21219006,0,0,0,0.079186523,0.21219006,0
Doda,3.422741839,0,0,1.290880261,1.252798002,0.593529898,0.872470043,0,0,1.290880261,0,0,0,0.481739435,1.290880261,0
Udhampur,4.225892246,0,0,1.593786836,1.54676853,0.732802388,1.077196167,0,0,1.593786836,0,0,0,0.594780161,1.593786836,0
Punch,1.891705396,0,0,0.713452919,0.692405344,0.328036341,0.482202972,0,0,0.713452919,0,0,0,0.26625119,0.713452919,0
Rajauri,0,1.441047439,3.325952561,0,0,0,0,0,0,0,2.8602,0,0,0,0,0
Jammu,8.700222136,0,0,3.281271434,3.184470645,1.508685785,2.217720044,0,0,3.281271434,0,0,0,1.224527088,3.281271434,0
Kathua,3.123432262,0,0,1.177996251,1.143244183,0.541627303,0.796174882,0,0,1.177996251,0,0,0,0.439612616,1.177996251,0
Chamba,2.511273349,0,0,0.947121737,0.919180699,0.435474215,0.640133224,0,0,0.947121737,0,0,0,0.353453302,0.947121737,0
Kangra,8.062914227,0,0,3.040912026,2.951202081,1.398171666,2.05526781,0,0,3.040912026,0,0,0,1.134828137,3.040912026,0
Lahul,0.15825084,0,0,0.059683989,0.057923252,0.027441919,0.040338747,0,0,0.059683989,0,0,0,0.022273275,0.059683989,0
Kullu,2.151856629,0,0,0.811568438,0.787626357,0.373148577,0.548516521,0,0,0.811568438,0,0,0,0.302866604,0.811568438,0
Mandi,5.818418506,0,0,2.19440494,2.1296678,1.008958754,1.483137229,0,0,2.19440494,0,0,0,0.818922892,2.19440494,0
Hamirpur,2.585337664,0,0,0.975054946,0.94628985,0.44831754,0.659012502,0,0,0.975054946,0,0,0,0.363877606,0.975054946,0
