District,Households,Cluster,Staple
Kupwara,85772,0,Rice
Baramula,163437,3,Rice
Srinagar,166121,2,Rice
Badgam,84411,0,Rice
Pulwama,99548,2,Rice
Anantnag,172110,0,Rice
Leh,14878,2,Mix
Kargil,21566,2,Rice
Doda,131199,2,Mix
Udhampur,161985,2,Mix
Punch,72512,2,Mix
Rajauri,95340,3,Mix
Jammu,333493,2,Mix
Kathua,119726,2,Mix
Chamba,96261,2,Mix
Kangra,309064,2,Mix
Lahul,6066,2,Mix
Kullu,82484,2,Mix
Mandi,223029,2,Mix
Hamirpur,99100,2,Mix
Una,100262,2,Wheat
Bilaspur,79797,2,Mix
Solan,100611,1,Mix
Sirmaur,92303,3,Mix
Shimla,161067,3,Mix
Kinnaur,17888,3,Mix
Gurdaspur,336969,2,Wheat
Amritsar,337777,2,Wheat
Kapurthala,154511,2,Wheat
Jalandhar,374216,2,Wheat
Hoshiarpur,285328,2,Wheat
Nawanshahr,129174,2,Wheat
Rupnagar,126439,2,Wheat
Fatehgarh,117989,2,Wheat
Ludhiana,442857,2,Wheat
Moga,151570,3,Wheat
Firozpur,361616,2,Wheat
Muktsar,159617,2,Wheat
Faridkot,105313,2,Wheat
Bathinda,253283,2,Wheat
Mansa,140295,2,Wheat
Sangrur,243775,2,Wheat
Patiala,374308,2,Wheat
SJAS Nagar (Mohali),117181,2,Wheat
Barnala,107995,2,Wheat
Tarn Taran,127667,2,Wheat
Chandigarh,106128,2,Wheat
Uttarkashi,68628,2,Mix
Chamoli,91732,2,Mix
Rudraprayag,52333,2,Mix
Tehri,133868,3,Mix
Dehradun,311287,2,Mix
Garhwal,156422,2,Mix
Pithoragarh,113502,2,Mix
Bageshwar,59939,3,Mix
Almora,128766,2,Mix
Champawat,46374,2,Mix
Nainital,83105,2,Mix
Udham,258688,0,Mix
Hardwar,303327,3,Wheat
Nainital(Hills),49291,3,Mix
Dehradun(Hills),15256,2,Mix
Panchkula,80156,2,Wheat
Ambala,180583,2,Wheat
Yamunanagar,202259,2,Wheat
Kurukshetra,189052,2,Wheat
Kaithal,185716,2,Wheat
Karnal,287189,2,Wheat
Panipat,213295,2,Wheat
Sonipat,289831,2,Wheat
Jind,227777,2,Wheat
Fatehabad,181382,2,Wheat
Sirsa,245083,2,Wheat
Hisar,347045,2,Wheat
Bhiwani,298326,1,Wheat
Rohtak,195086,2,Wheat
Jhajjar,178674,2,Wheat
Mahendragarh,219360,2,Wheat
Rewari,171398,2,Wheat
Gurgaon,172976,2,Wheat
Faridabad,313606,2,Wheat
Mewat,153941,2,Wheat
North West Delhi,1045515,2,Wheat
North Delhi,17556,2,Mix
North East Delhi,127027,2,Wheat
East Delhi,35173,2,Wheat
New Delhi,35856,2,Wheat
West Delhi,36008,2,Wheat
South West Delhi,51975,2,Wheat
South Delhi,101348,2,Wheat
Ganganagar,335277,2,Wheat
Hanumangarh,257057,2,Wheat
Bikaner,334303,2,Wheat
Churu,361934,1,Wheat
Jhunjhunun,375885,2,Wheat
Alwar,537493,1,Wheat
Bharatpur,367205,1,Wheat
