district,Rice,Wheat,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Kupwara,8.5772,0,0,4.2886,0,0,0,0,0,0,2.57316,0,0,0,0,0,0,0
Baramula,16.3437,0,0,2.670523131,5.501326869,0,0,0,0,0,0,0,4.90311,0,0,0,0,0
Srinagar,16.6121,0,4.19815195,0.66571159,0,1.399383983,1.399383983,0.643418494,0.945804689,0,0,1.399383983,0,0,0,1.399383983,0.793550229,0.445507115
Badgam,8.4411,0,0,4.22055,0,0,0,0,0,0,2.53233,0,0,0,0,0,0,0
Pulwama,9.9548,0,2.515742322,0.398927633,0,0.838580774,0.838580774,0.385568496,0.566773407,0,0,0.838580774,0,0,0,0.838580774,0.47553493,0.266970114
Anantnag,17.211,0,0,8.6055,0,0,0,0,0,0,5.1633,0,0,0,0,0,0,0
Leh,0.7439,0.7439,0.375991625,0.059621944,0,0.125330542,0.125330542,0.057625347,0.084707425,0,0,0.125330542,0,0,0,0.125330542,0.071071329,0.039900162
Kargil,2.1566,0,0.545008427,0.086423367,0,0.181669476,0.181669476,0.083529254,0.122785343,0,0,0.181669476,0,0,0,0.181669476,0.103019511,0.057836194
Doda,6.55995,6.55995,3.315615351,0.525765526,0,1.105205117,1.105205117,0.50815889,0.746977381,0,0,1.105205117,0,0,0,1.105205117,0.626729892,0.351852493
Udhampur,8.09925,8.09925,4.093628401,0.649137026,0,1.3645428,1.3645428,0.627398972,0.922256504,0,0,1.3645428,0,0,0,1.3645428,0.7737928,0.434415095
Punch,3.6256,3.6256,1.832497963,0.290583844,0,0.610832654,0.610832654,0.280852883,0.412844792,0,0,0.610832654,0,0,0,0.610832654,0.346385551,0.194464348
Rajauri,4.767,4.767,0,1.557833754,3.209166246,0,0,0,0,0,0,0,2.8602,0,0,0,0,0
Jammu,16.67465,16.67465,8.427918735,1.336436425,0,2.809306245,2.809306245,1.29168235,1.898731908,0,0,2.809306245,0,0,0,2.809306245,1.593076411,0.894369191
Kathua,5.9863,5.9863,3.025673698,0.479788743,0,1.008557899,1.008557899,0.46372176,0.681656216,0,0,1.008557899,0,0,0,1.008557899,0.571924047,0.321083938
Chamba,4.81305,4.81305,2.432674405,0.385755343,0,0.810891468,0.810891468,0.372837315,0.548058976,0,0,0.810891468,0,0,0,0.810891468,0.459833125,0.258154962
Kangra,15.4532,15.4532,7.810557571,1.238539901,0,2.60351919,2.60351919,1.197064148,1.759646165,0,0,2.60351919,0,0,0,2.60351919,1.476380517,0.828854937
Lahul,0.3033,0.3033,0.153297835,0.024308826,0,0.051099278,0.051099278,0.023494781,0.03453658,0,0,0.051099278,0,0,0,0.051099278,0.028976925,0.016267938
Kullu,4.1242,4.1242,2.084506868,0.330545535,0,0.694835623,0.694835623,0.319476352,0.46962006,0,0,0.694835623,0,0,0,0.694835623,0.394021208,0.221207487
Mandi,11.15145,11.15145,5.63631107,0.893764125,0,1.878770357,1.878770357,0.863834092,1.269808598,0,0,1.878770357,0,0,0,1.878770357,1.065396392,0.598124297
Hamirpur,4.955,4.955,2.504420623,0.397132323,0,0.834806874,0.834806874,0.383833307,0.564222734,0,0,0.834806874,0,0,0,0.834806874,0.473394861,0.265768657
Una,0,10.0262,2.533786281,0.40178891,0,0.844595427,0.844595427,0.388333955,0.570838544,0,0,0.844595427,0,0,0,0.844595427,0.478945666,0.268884936
Bilaspur,3.98985,3.98985,2.016601942,0.319777679,0,0.672200647,0.672200647,0.309069085,0.45432171,0,0,0.672200647,0,0,0,0.672200647,0.381185567,0.214001428
Solan,5.03055,5.03055,0,5.03055,0,0,0,0,0,0,0,0,0,0,0,0,3.01833,0
Sirmaur,4.61515,4.61515,0,1.50820987,3.10694013,0,0,0,0,0,0,0,2.76909,0,0,0,0,0
Shimla,8.05335,8.05335,0,2.631797874,5.421552126,0,0,0,0,0,0,0,4.83201,0,0,0,0,0
Kinnaur,0.8944,0.8944,0,0.292285821,0.602114179,0,0,0,0,0,0,0,0.53664,0,0,0,0,0
Gurdaspur,0,33.6969,8.515762994,1.350366111,0,2.838587665,2.838587665,1.305145565,1.918522405,0,0,2.838587665,0,0,0,2.838587665,1.609681058,0.903691208
Amritsar,0,33.7777,8.536182488,1.353604082,0,2.845394163,2.845394163,1.308275104,1.923122727,0,0,2.845394163,0,0,0,2.845394163,1.613540826,0.905858121
Kapurthala,0,15.4511,3.904748081,0.619185795,0,1.301582694,1.301582694,0.598450737,0.87970352,0,0,1.301582694,0,0,0,1.301582694,0.738089943,0.41437115
Jalandhar,0,37.4216,9.457056182,1.499629357,0,3.152352061,3.152352061,1.449410339,2.130587028,0,0,3.152352061,0,0,0,3.152352061,1.787607782,1.003581068
Hoshiarpur,0,28.5328,7.210709661,1.143420498,0,2.403569887,2.403569887,1.105130067,1.624505995,0,0,2.403569887,0,0,0,2.403569887,1.362995044,0.765199187
Nawanshahr,0,12.9174,3.264440257,0.517650562,0,1.088146752,1.088146752,0.500315676,0.735448107,0,0,1.088146752,0,0,0,1.088146752,0.617056587,0.346421802
Rupnagar,0,12.6439,3.195322292,0.506690351,0,1.065107431,1.065107431,0.489722497,0.71987647,0,0,1.065107431,0,0,0,1.065107431,0.603991653,0.339087016
Fatehgarh,0,11.7989,2.98177684,0.472827907,0,0.993925613,0.993925613,0.456994026,0.671766661,0,0,0.993925613,0,0,0,0.993925613,0.563626501,0.316425612
Ludhiana,0,44.2857,11.191727584,1.774700595,0,3.730575861,3.730575861,1.715270097,2.521392403,0,0,3.730575861,0,0,0,3.730575861,2.115501795,1.187664079
Moga,0,15.157,0,2.47661907,5.10188093,0,0,0,0,0,0,0,4.5471,0,0,0,0,0
Firozpur,0,36.1616,9.138633379,1.449136246,0,3.046211126,3.046211126,1.400608123,2.058849324,0,0,3.046211126,0,0,0,3.046211126,1.727418325,0.969790099
Muktsar,0,15.9617,4.033785131,0.639647527,0,1.344595044,1.344595044,0.618227254,0.90877437,0,0,1.344595044,0,0,0,1.344595044,0.762481004,0.428064539
Faridkot,0,10.5313,2.661433391,0.422030235,0,0.887144464,0.887144464,0.407897447,0.599596254,0,0,0.887144464,0,0,0,0.887144464,0.503073996,0.282430823
Bathinda,0,25.3283,6.400879602,1.015003694,0,2.133626534,2.133626534,0.981013636,1.442058795,0,0,2.133626534,0,0,0,2.133626534,1.209917967,0.67926017
Mansa,0,14.0295,3.545486289,0.562216743,0,1.181828763,1.181828763,0.543389442,0.798765171,0,0,1.181828763,0,0,0,1.181828763,0.670180948,0.376246355
Sangrur,0,24.3775,6.160596743,0.976901432,0,2.053532248,2.053532248,0.944187329,1.387925296,0,0,2.053532248,0,0,0,2.053532248,1.164498811,0.653761397
Patiala,0,37.4308,9.459381174,1.499998037,0,3.153127058,3.153127058,1.449766673,2.131110827,0,0,3.153127058,0,0,0,3.153127058,1.788047261,1.003827796
SJAS Nagar (Mohali),0,11.7181,2.961357346,0.469589936,0,0.987119115,0.987119115,0.453864487,0.667166338,0,0,0.987119115,0,0,0,0.987119115,0.559766732,0.314258699
Barnala,0,10.7995,2.729211959,0.432778054,0,0.90973732,0.90973732,0.418285347,0.614866136,0,0,0.90973732,0,0,0,0.90973732,0.515885752,0.289623473
Tarn Taran,0,12.7667,3.226355879,0.511611425,0,1.07545196,1.07545196,0.494478776,0.72686805,0,0,1.07545196,0,0,0,1.07545196,0.609857737,0.342380294
Chandigarh,0,10.6128,2.682029786,0.425296258,0,0.894009929,0.894009929,0.411054098,0.604236431,0,0,0.894009929,0,0,0,0.894009929,0.506967203,0.284616509
Uttarkashi,3.4314,3.4314,1.734342871,0.275019143,0,0.57811429,0.57811429,0.265809406,0.39073136,0,0,0.57811429,0,0,0,0.57811429,0.327831912,0.184048147
Chamoli,4.5866,4.5866,2.318219097,0.367605875,0,0.772739699,0.772739699,0.355295629,0.522273257,0,0,0.772739699,0,0,0,0.772739699,0.438198359,0.246008986
Rudraprayag,2.61665,2.61665,1.322541316,0.209718727,0,0.440847105,0.440847105,0.202695746,0.29795629,0,0,0.440847105,0,0,0,0.440847105,0.249991657,0.140347842
Tehri,6.6934,6.6934,0,2.187372446,4.506027554,0,0,0,0,0,0,0,4.01604,0,0,0,0,0
Dehradun,15.56435,15.56435,7.866736451,1.247448328,0,2.622245484,2.622245484,1.205674253,1.772302745,0,0,2.622245484,0,0,0,2.622245484,1.486999657,0.83481663
Garhwal,7.8211,7.8211,3.953042206,0.626843917,0,1.317680735,1.317680735,0.605852406,0.890583738,0,0,1.317680735,0,0,0,1.317680735,0.747218677,0.419496114
Pithoragarh,5.6751,5.6751,2.868382941,0.45484675,0,0.956127647,0.956127647,0.439615015,0.646220068,0,0,0.956127647,0,0,0,0.956127647,0.542192366,0.304392272
Bageshwar,2.99695,2.99695,0,0.979389526,2.017560474,0,0,0,0,0,0,0,1.79817,0,0,0,0,0
Almora,6.4383,6.4383,3.254129424,0.516015546,0,1.084709808,1.084709808,0.498735414,0.733125172,0,0,1.084709808,0,0,0,1.084709808,0.615107595,0.345327618
Champawat,2.3187,2.3187,1.171947547,0.185838692,0,0.390649182,0.390649182,0.179615396,0.264028911,0,0,0.390649182,0,0,0,0.390649182,0.221525866,0.124366859
Nainital,4.15525,4.15525,2.100200563,0.333034124,0,0.700066854,0.700066854,0.321881604,0.473155704,0,0,0.700066854,0,0,0,0.700066854,0.396987688,0.222872899
Udham,12.9344,12.9344,0,12.9344,0,0,0,0,0,0,7.76064,0,0,0,0,0,0,0
Hardwar,0,30.3327,0,4.956293677,10.210056323,0,0,0,0,0,0,0,9.09981,0,0,0,0,0
Nainital(Hills),2.46455,2.46455,0,0.805403646,1.659146354,0,0,0,0,0,0,0,1.47873,0,0,0,0,0
Dehradun(Hills),0.7628,0.7628,0.385544309,0.061136738,0,0.12851477,0.12851477,0.059089414,0.086859556,0,0,0.12851477,0,0,0,0.12851477,0.072877013,0.040913891
Panchkula,0,8.0156,2.025674464,0.321216332,0,0.675224821,0.675224821,0.310459561,0.456365665,0,0,0.675224821,0,0,0,0.675224821,0.382900489,0.214964203
