District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,"arha, tur",moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
Kupwara,-0.085150983,34.5261786,74.2546136,-0.340805136,-0.406093059,0.303087068,-0.207659596,-0.166393773,-0.339358608,0.846865914,0.710652614,0.121968796,-0.7389758,-0.327960846,-0.311892835,1.493909231,-0.663258617,-1.926201186,0.230022875
Baramula,0.244711649,34.1990498,74.3499496,-0.340805136,1.862526102,0.619135075,-0.207659596,-0.166393773,-0.339358608,-0.648387983,1.006448618,0.129253448,-0.410846826,0.068042685,0.45814004,1.557105793,2.095359871,2.538402015,0.405275714
Srinagar,1.114334323,34.0836708,74.7972825,-0.340805136,-0.406093059,-0.275561858,-0.207659596,-0.166393773,-0.339358608,-1.053252249,-0.553013989,-0.641921926,-0.711749771,-0.096787359,1.060169777,0.195996773,0.742888435,1.409284316,1.560911856
Badgam,-0.123589715,34.0117793,74.7746684,-0.340805136,-0.406093059,0.482455771,-0.207659596,-0.166393773,-0.339358608,-1.848862765,-0.382396218,-0.555091814,-1.614833107,-0.368826261,-0.602345242,0.216458844,0.847285085,-1.926201186,-0.2906162
Pulwama,0.310985569,33.8716117,74.8945692,-0.340805136,-0.406093059,-0.495215578,1.659465509,-0.166393773,-0.339358608,-1.848862765,0.035115977,-1.748309403,-1.614833107,-1.084589471,-0.602345242,1.001649998,-0.663258617,-1.926201186,-0.870323123
Anantnag,0.192346235,33.7311255,75.1487007,-0.340805136,-0.406093059,1.90556598,-0.207659596,-0.166393773,-0.339358608,-1.848862765,0.108308036,0.772985667,-1.614833107,-1.084589471,-0.602345242,0.392760991,0.847285085,-1.926201186,0.25955489
Leh,0.978899543,34.1663838,77.4966975,-0.340805136,-0.406093059,-0.495215578,-0.207659596,-0.166393773,-0.339358608,-1.109366983,-0.391894474,-0.792549051,-1.05353559,0.197928963,0.009009186,0.358415029,-0.663258617,-1.926201186,0.289090722
Kargil,0.604533724,34.5584489,76.099508,0.360321947,0.054206481,-0.495215578,1.659465509,-0.166393773,-0.339358608,-1.848862765,0.421724577,0.192017413,-1.614833107,0.034068178,-0.602345242,0.700379228,0.847285085,1.32334523,0.200779625
Doda,-0.144125658,33.1457497,75.5480491,3.043311596,-0.406093059,1.355615707,-0.207659596,-0.166393773,-0.339358608,-1.848862765,-0.699495692,-0.767746482,0.031442903,-0.195544442,1.1403692,0.503134966,0.092013234,-0.759180531,-0.346951778
Udhampur,-0.369838174,32.9140588,75.1429652,-0.340805136,-0.406093059,1.931943079,2.126246785,-0.166393773,-0.339358608,0.552174811,-0.62800567,-0.77048603,-0.112751099,-0.343295149,-0.021440428,0.1967602,0.659788435,-1.00609025,-0.378063204
Punch,-0.057842425,33.5371751,73.7383518,-0.340805136,-0.406093059,1.943126012,-0.207659596,-0.166393773,-0.339358608,-0.488627063,-0.30284574,-0.185541948,0.175229566,0.926073316,-0.602345242,0.714926247,-0.663258617,-0.814143851,-0.089430027
Rajauri,0.203422106,33.3786445,74.2880047,-0.340805136,0.350113328,2.149028213,-0.207659596,-0.166393773,-0.339358608,-0.513328478,-0.30677042,-0.234568345,0.045644943,0.141929125,2.302178827,0.822416606,0.036485188,-0.761037258,-0.340112264
Jammu,2.076776791,32.7266016,74.8570259,-0.340805136,-0.406093059,0.259841726,-0.207659596,-0.166393773,-0.339358608,-0.622644988,-0.669847398,-0.740063768,0.259068894,-0.363590383,1.1403692,0.602222291,0.482429669,-0.583292564,-0.33940555
Kathua,0.780404709,32.3864799,75.5172688,-0.340805136,-0.406093059,1.219926581,-0.207659596,-0.166393773,-0.339358608,-0.929040177,-0.818791021,-0.759030779,0.481314485,-0.455210801,-0.602345242,0.237263152,0.092013234,-0.766944292,-0.308400663
